X Y
-91.623722 525.466725
-91.720101 525.425794
-91.816618 525.385168
-91.913213 525.344715
-92.009827 525.304301
-92.106399 525.263796
-92.202870 525.223067
-92.299179 525.181982
-92.395266 525.140408
-92.491071 525.098214
-82.285714 505.102679
-82.285714 503.776786
-82.289670 503.743041
-82.292931 503.709153
-82.295591 503.675139
-82.297744 503.641020
-82.299481 503.606814
-82.300897 503.572542
-82.302084 503.538222
-82.303135 503.503874
-82.304144 503.469517
-82.305204 503.435171
-82.306407 503.400854
-82.307847 503.366587
-82.309618 503.332389
-82.311811 503.298278
-82.314520 503.264274
-82.317839 503.230398
-82.321860 503.196667
-82.326677 503.163101
-82.332382 503.129720
-82.339055 503.096541
-82.346685 503.063566
-82.355232 503.030793
-82.364654 502.998219
-82.374909 502.965842
-82.385956 502.933658
-82.397752 502.901665
-82.410256 502.869861
-82.423427 502.838243
-82.437223 502.806808
-82.451601 502.775554
-82.466521 502.744478
-82.481941 502.713577
-82.497819 502.682849
-82.514113 502.652291
-82.530781 502.621901
-82.547783 502.591675
-82.565076 502.561612
-82.582618 502.531708
-82.600369 502.501961
-82.618286 502.472368
-82.636341 502.442928
-82.654535 502.413638
-82.672867 502.384498
-82.691341 502.355506
-82.709956 502.326661
-82.728716 502.297962
-82.747620 502.269407
-82.766672 502.240995
-82.785872 502.212725
-82.805222 502.184596
-82.824724 502.156607
-82.844378 502.128756
-82.864188 502.101041
-82.884153 502.073462
-82.904276 502.046018
-82.924559 502.018706
-82.945002 501.991527
-82.965607 501.964478
-82.986377 501.937558
-83.007311 501.910767
-83.028413 501.884102
-83.049683 501.857563
-83.071123 501.831148
-83.092732 501.804857
-83.114508 501.778689
-83.136449 501.752644
-83.158553 501.726721
-83.180818 501.700921
-83.203242 501.675242
-83.225823 501.649685
-83.248558 501.624248
-83.271447 501.598933
-83.294486 501.573737
-83.317675 501.548661
-83.341010 501.523705
-83.364490 501.498867
-83.388113 501.474148
-83.411877 501.449548
-83.435780 501.425065
-83.459820 501.400700
-83.483994 501.376452
-83.508301 501.352320
-83.532740 501.328305
-83.557307 501.304406
-83.582000 501.280622
-83.606819 501.256953
-83.631760 501.233400
-83.656823 501.209961
-83.682009 501.186645
-83.707321 501.163460
-83.732762 501.140415
-83.758335 501.117517
-83.784042 501.094776
-83.809887 501.072200
-83.835871 501.049797
-83.861999 501.027577
-83.888272 501.005547
-83.914695 500.983717
-83.941268 500.962094
-83.967996 500.940688
-83.994880 500.919506
-84.021925 500.898558
-84.049132 500.877852
-84.076505 500.857397
-84.104046 500.837200
-84.131758 500.817272
-84.159644 500.797619
-84.187707 500.778251
-84.215949 500.759176
-84.244373 500.740403
-84.272983 500.721941
-84.301781 500.703797
-84.330769 500.685981
-84.359951 500.668501
-84.389325 500.651355
-84.418885 500.634535
-84.448626 500.618031
-84.478541 500.601834
-84.508625 500.585932
-84.538871 500.570318
-84.569275 500.554980
-84.599830 500.539909
-84.630529 500.525095
-84.661369 500.510529
-84.692341 500.496201
-84.723442 500.482101
-84.754664 500.468219
-84.786002 500.454546
-84.817450 500.441071
-84.849003 500.427785
-84.880653 500.414678
-84.912397 500.401741
-84.944227 500.388963
-84.976137 500.376335
-85.008123 500.363847
-85.040177 500.351490
-85.072295 500.339253
-85.104470 500.327127
-85.136697 500.315102
-85.168969 500.303168
-85.201281 500.291315
-85.233628 500.279541
-85.266012 500.267856
-85.298433 500.256275
-85.330892 500.244812
-85.363390 500.233480
-85.395929 500.222292
-85.428509 500.211264
-85.461131 500.200409
-85.493796 500.189740
-85.526505 500.179272
-85.559260 500.169018
-85.592062 500.158992
-85.624910 500.149209
-85.657807 500.139681
-85.690754 500.130423
-85.723751 500.121448
-85.756799 500.112771
-85.789900 500.104405
-85.823054 500.096364
-85.856263 500.088662
-85.889527 500.081313
-85.922848 500.074330
-85.956227 500.067728
-85.989664 500.061520
-86.023161 500.055720
-86.056718 500.050342
-86.090337 500.045399
-86.124019 500.040907
-86.157765 500.036876
-86.191572 500.033296
-86.225436 500.030139
-86.259355 500.027376
-86.293324 500.024979
-86.327339 500.022918
-86.361395 500.021166
-86.395491 500.019693
-86.429620 500.018471
-86.463780 500.017471
-86.497966 500.016664
-86.532175 500.016022
-86.566402 500.015517
-86.600644 500.015119
-86.634897 500.014800
-86.669157 500.014531
-86.703420 500.014284
-86.737682 500.014030
-86.771938 500.013740
-86.806187 500.013386
-86.840422 500.012939
-86.874641 500.012370
-86.908839 500.011651
-86.943013 500.010752
-86.977158 500.009646
-87.011271 500.008304
-87.045348 500.006697
-87.079384 500.004797
-87.113377 500.002574
-87.147321 500.000000
-87.169516 500.002464
-87.191742 500.004756
-87.213998 500.006885
-87.236281 500.008858
-87.258592 500.010684
-87.280929 500.012370
-87.303289 500.013924
-87.325672 500.015353
-87.348076 500.016666
-87.370500 500.017871
-87.392942 500.018974
-87.415401 500.019985
-87.437876 500.020911
-87.460364 500.021760
-87.482866 500.022539
-87.505378 500.023256
-87.527901 500.023920
-87.550431 500.024538
-87.572969 500.025118
-87.595512 500.025668
-87.618059 500.026195
-87.640609 500.026707
-87.663160 500.027213
-87.685711 500.027720
-87.708260 500.028236
-87.730806 500.028768
-87.753348 500.029325
-87.775884 500.029915
-87.798413 500.030545
-87.820932 500.031222
-87.843442 500.031956
-87.865940 500.032753
-87.888425 500.033622
-87.910895 500.034571
-87.933350 500.035606
-87.955787 500.036737
-87.978206 500.037970
-88.000605 500.039314
-88.022981 500.040777
-88.045335 500.042366
-88.067665 500.044090
-88.089968 500.045955
-88.112245 500.047970
-88.134492 500.050143
-88.156710 500.052482
-88.178895 500.054994
-88.201048 500.057687
-88.223167 500.060569
-88.245250 500.063648
-88.267295 500.066931
-88.289302 500.070427
-88.311268 500.074143
-88.333195 500.078076
-88.355081 500.082226
-88.376927 500.086588
-88.398732 500.091161
-88.420497 500.095941
-88.442221 500.100926
-88.463905 500.106113
-88.485548 500.111499
-88.507151 500.117082
-88.528713 500.122859
-88.550234 500.128827
-88.571714 500.134983
-88.593153 500.141325
-88.614552 500.147849
